model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features,Scenario
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 45, 46, 47, 76, 77]",anova,6,"not anonymized train
not anonymized test"
Random Forest,True,True,0.8431307220614054,0.8696082196506509,0.8431307220614054,0.8382983431544696,"[46, 47, 76]",anova,3,"anonymized train
anonymized test"
Random Forest,True,False,0.8955403176759313,0.920472582513942,0.8955403176759313,0.8928202682595332,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 62, 63, 64, 66, 67, 68, 69, 70, 74, 75, 76, 77, 78]",anova,65,"not anonymized train
anonymized test"
Random Forest,False,True,0.917779412989426,0.9344276338629666,0.917779412989426,0.9153297014989484,"[46, 76]",anova,2,"anonymized train
not anonymized test"
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 45, 46, 47, 76, 77]",anova,6,"not anonymized train
not anonymized test"
GaussianNB,True,True,0.7776200933545905,0.81361371662167,0.7776200933545905,0.7710644349787268,"[46, 76]",anova,2,"anonymized train
anonymized test"
GaussianNB,True,False,0.9962200398988452,0.9962524458996324,0.9962200398988452,0.9962199194055248,"[0, 1, 2, 3, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 22, 27, 28, 29, 30, 32, 36, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 56, 62, 63, 66, 67, 68, 75, 76, 77, 78]",anova,45,"not anonymized train
anonymized test"
GaussianNB,False,True,0.7490297810519954,0.6775614906471148,0.7490297810519954,0.6912468221787161,"[46, 76]",anova,2,"anonymized train
not anonymized test"
GaussianNB,False,False,0.999569998699927,0.9995700832395976,0.999569998699927,0.9995699986859954,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 62, 63, 64, 66, 67, 68, 69, 70, 74, 75, 76, 77, 78]",anova,65,"not anonymized train
not anonymized test"
Mutilayer Perceptron,True,True,0.7797700374555795,0.8170492168098392,0.7797700374555795,0.7731008092774946,"[46, 76]",anova,2,"anonymized train
anonymized test"
Mutilayer Perceptron,True,False,0.8443807573613026,0.8680676003741564,0.8443807573613026,0.8400217964430726,"[1, 45, 46, 47, 53, 56, 68, 76, 77]",anova,9,"not anonymized train
anonymized test"
Mutilayer Perceptron,False,True,0.8026509976505537,0.8513698233623499,0.8026509976505537,0.7911988480302727,"[46, 76]",anova,2,"anonymized train
not anonymized test"
Mutilayer Perceptron,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 45, 46, 47, 53, 56, 68, 76, 77]",anova,9,"not anonymized train
not anonymized test"
KNN,True,True,0.5763807689075872,0.5031211710707437,0.5763807689075872,0.5199363213262702,"[1, 2, 3, 8, 10, 20, 22, 25, 41, 43, 45, 46, 47, 54, 64, 67, 68, 70, 75, 76, 77]",extra_trees,28,"anonymized train
anonymized test"
KNN,True,False,0.7990700471593425,0.8498075953164882,0.7990700471593425,0.7915155199765246,"[1, 2, 3, 8, 19, 20, 22, 25, 27, 41, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,68,"not anonymized train
anonymized test"
KNN,False,True,0.6828401307352606,0.7780089980602432,0.6828401307352606,0.6535041878469449,"[1, 2, 3, 8, 10, 18, 19, 20, 22, 23, 25, 41, 42, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,18,"anonymized train
not anonymized test"
KNN,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 8, 10, 20, 22, 23, 41, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,33,"not anonymized train
not anonymized test"
Decision Tree,True,True,0.7935218036406679,0.8656789005681785,0.7935218036406679,0.7684690691199335,"[1, 2, 3, 12, 20, 22, 23, 25, 41, 45, 46, 47, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,23,"anonymized train
anonymized test"
Decision Tree,True,False,0.952929532295263,0.9624348049874328,0.952929532295263,0.952107707604112,"[1, 2, 3, 8, 10, 20, 22, 24, 25, 41, 45, 46, 47, 55, 68, 70, 75, 76, 77, 78]",extra_trees,43,"not anonymized train
anonymized test"
Decision Tree,False,True,0.8403207203608606,0.863038981692872,0.8403207203608606,0.8360375797394702,"[1, 2, 3, 18, 20, 22, 25, 41, 42, 45, 46, 47, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,78,"anonymized train
not anonymized test"
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 8, 10, 20, 22, 23, 24, 25, 27, 45, 46, 47, 53, 64, 68, 70, 75, 76, 77, 78]",extra_trees,3,"not anonymized train
not anonymized test"
