model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
GaussianNB,True,False,0.9964599753995381,0.9964974219211924,0.9964599753995381,0.9964598311092804,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
GaussianNB,False,True,0.4300893008930089,0.2768438925886236,0.4300893008930089,0.31484863507562383,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 62, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
GaussianNB,False,False,0.9994799977999179,0.9994801068981684,0.9994799977999179,0.9994799977756722,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 62, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
Mutilayer Perceptron,True,True,0.46008225606945574,0.46346662880138084,0.46008225606945574,0.4580016250451189,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
Mutilayer Perceptron,True,False,0.8073107754537077,0.8296667420962377,0.8073107754537077,0.8040484154520916,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
Mutilayer Perceptron,False,True,0.6519588004423873,0.6158530339701275,0.6519588004423873,0.5846774136938856,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 62, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
Mutilayer Perceptron,False,False,0.9999599998999931,0.9999600010998911,0.9999599998999931,0.999959999899966,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 61, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,60
KNN,True,True,0.49973000239992205,0.24993247156241302,0.49973000239992205,0.33321330034587976,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 60, 61, 62, 63, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,65
KNN,True,False,0.8041692944678891,0.8245884150398847,0.8041692944678891,0.8010687652312454,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 53, 54, 55, 56, 58, 61, 62, 63, 64, 66, 67, 68, 69, 70, 75, 76, 77, 78]",mutual_info,65
