model,anonymized_train,anonymized_test,accuracy,precision,recall,f1_score,selected_features,feature_method,num_features
Decision Tree,False,True,0.7608128715234473,0.7629420846120544,0.7608128715234473,0.7548067980441139,"[1, 2, 3, 8, 10, 14, 19, 20, 22, 23, 24, 25, 45, 46, 47, 54, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
Decision Tree,False,False,1.0,1.0,1.0,1.0,"[1, 2, 3, 8, 10, 11, 18, 19, 20, 22, 24, 25, 41, 45, 46, 47, 53, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
Random Forest,True,True,0.6131094730278916,0.6435184169409601,0.6131094730278916,0.602722108880465,"[1, 2, 3, 10, 19, 22, 25, 27, 41, 45, 46, 47, 55, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,8
Random Forest,True,False,0.8672109505639366,0.8975358893649233,0.8672109505639366,0.8622797889684103,"[1, 2, 3, 8, 20, 22, 23, 25, 32, 41, 45, 46, 47, 55, 63, 64, 67, 68, 70, 75, 76, 77, 78]",extra_trees,8
Random Forest,False,True,0.5684095942177397,0.7300748620222349,0.5684095942177397,0.47603756589852936,"[1, 2, 3, 8, 10, 14, 19, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 56, 63, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
Random Forest,False,False,0.999990000199996,0.999990000799936,0.999990000199996,0.999990000199987,"[1, 2, 3, 18, 19, 20, 22, 23, 24, 25, 41, 45, 46, 47, 68, 70, 75, 76, 77, 78]",extra_trees,8
GaussianNB,True,True,0.5000000000000001,0.250000000150003,0.5000000000000001,0.333333333422224,"[1, 2, 3, 14, 19, 20, 22, 23, 24, 25, 41, 42, 45, 46, 47, 53, 55, 68, 70, 75, 76, 77, 78]",extra_trees,8
GaussianNB,True,False,0.9885599611981001,0.9889798088946784,0.9885599611981001,0.9885546399843607,"[1, 2, 3, 14, 19, 20, 22, 24, 25, 42, 45, 46, 47, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
GaussianNB,False,True,0.5427615591929604,0.4093185321159938,0.5427615591929604,0.4498959157211893,"[1, 2, 3, 10, 12, 19, 20, 22, 24, 25, 27, 41, 42, 45, 46, 47, 55, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
GaussianNB,False,False,0.997819981199752,0.997829563374478,0.997819981199752,0.9978199661370954,"[1, 2, 3, 8, 18, 20, 22, 23, 24, 25, 27, 41, 45, 46, 47, 54, 64, 68, 70, 75, 76, 77, 78]",extra_trees,8
